,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
0,Aaron Cresswell,34.0,Left,170.0,68.0,West Ham,Premier League,1,0,1,1
1,Aaron Hickey,22.0,Both,175.0,64.0,Brentford,Premier League,1,0,1,1
2,Aaron Ramsey,21.0,,178.0,76.0,Burnley,Premier League,1,0,1,0
3,Aaron Seydel,,Left,199.0,89.0,Darmstadt 98,Bundesliga,1,1,0,0
4,Aaron Wan-Bissaka,26.0,Right,182.0,72.0,West Ham,Premier League,1,0,0,1
5,Aarón Martín,27.0,Left,180.0,72.0,Genoa,Serie A,1,0,1,1
6,Abakar Sylla,21.0,,,,Strasbourg,Ligue 1,1,0,0,1
7,Abdel Abqar,25.0,Right,188.0,79.0,Alavés,La Liga,1,0,0,1
8,Abdelhamid Sabiri,27.0,Right,183.0,79.0,Al-Fayha,Pro League,1,0,1,0
9,Abderrahman Rebbach,26.0,,,,Alavés,La Liga,1,1,0,0
10,Abdessamad Ezzalzouli,22.0,Right,177.0,73.0,Betis,La Liga,1,1,1,0
11,Abdou Harroui,26.0,Right,182.0,78.0,Hellas Verona,Serie A,1,0,1,0
12,Abdoul Kader Bamba,,Right,176.0,67.0,Nantes,Ligue 1,1,1,1,0
13,Abdoulaye Doucouré,31.0,Right,180.0,59.0,Everton,Premier League,1,1,1,0
14,Abdoulaye Touré,30.0,Right,187.0,77.0,Le Havre,Ligue 1,1,1,1,0
15,Abdul Mumin,26.0,Right,188.0,84.0,Rayo Vallecano,La Liga,1,0,0,1
16,Abdón Prats,31.0,,177.0,76.0,Mallorca,La Liga,1,1,0,0
17,Ablie Jallow,25.0,Left,166.0,55.0,Metz,Ligue 2,2,1,1,0
18,Abner,24.0,Left,181.0,73.0,Lyon,Ligue 1,1,0,0,1
19,Abraham Rando,23.0,,183.0,,Villarreal B,La Liga 2,2,0,0,1
20,Achraf Dari,25.0,Right,190.0,82.0,Brest,Ligue 1,1,0,0,1
21,Achraf Hakimi,25.0,Right,177.0,68.0,Paris S-G,Ligue 1,1,0,1,1
22,Adam Aznou,18.0,,,,Bayern U19,U19 Bundesliga,6,0,0,1
23,Adam Hložek,22.0,Right,180.0,87.0,Hoffenheim,Bundesliga,1,1,1,0
24,Adam Lallana,36.0,Right,173.0,67.0,Southampton,Premier League,1,1,1,0
25,Adam Marušić,31.0,Right,185.0,76.0,Lazio,Serie A,1,1,1,1
26,Adam Masina,30.0,Left,189.0,78.0,Torino,Serie A,1,0,0,1
27,Adam Obert,22.0,Left,186.0,,Cagliari,Serie A,1,0,0,1
28,Adam Ounas,,Left,172.0,64.0,Lille,Ligue 1,1,1,1,0
29,Adam Smith,33.0,Right,174.0,78.0,Bournemouth,Premier League,1,0,1,1
30,Adam Webster,29.0,Right,192.0,79.0,Brighton,Premier League,1,0,0,1
31,Adam Wharton,20.0,Left,182.0,,Crystal Palace,Premier League,1,0,1,0
32,Adama Soumaoro,,Right,186.0,92.0,Bologna,Serie A,1,0,0,1
33,Adama Traoré,28.0,Right,178.0,72.0,Fulham,Premier League,1,1,1,0
34,Ademola Lookman,26.0,Right,174.0,69.0,Atalanta,Serie A,1,1,1,0
35,Ademola Ola-Adebomi,20.0,,,,Waasland-Bev,Pro League B,2,1,0,0
36,Adnan Januzaj,29.0,Left,182.0,74.0,Sevilla,La Liga,1,1,1,0
37,Adri Embarba,32.0,Right,173.0,66.0,Rayo Vallecano,La Liga,1,1,1,0
38,Adrian Beck,27.0,,183.0,,Heidenheim,Bundesliga,1,0,1,0
39,Adrian Grbić,28.0,Right,185.0,82.0,Luzern,Super Lg,1,1,1,0
40,Adrien Lebeau,25.0,Right,175.0,69.0,Hansa Rostock,3,3,0,1,0
41,Adrien Rabiot,29.0,Left,188.0,71.0,Juventus,Serie A,1,0,1,0
42,Adrien Tameze,30.0,Right,180.0,78.0,Torino,Serie A,1,0,1,1
43,Adrien Thomasson,30.0,Right,182.0,74.0,Lens,Ligue 1,1,1,1,1
44,Adrien Truffert,22.0,Left,173.0,60.0,Rennes,Ligue 1,1,0,0,1
45,Adrià Altimira,23.0,Right,,,Leganés,La Liga,1,0,0,1
46,Adrià Pedrosa,26.0,Left,172.0,68.0,Sevilla,La Liga,1,0,0,1
47,Adryelson,26.0,Right,181.0,73.0,Lyon,Ligue 1,1,0,0,1
48,Adson,23.0,Left,171.0,71.0,Vasco da Gama,Série A,1,1,1,0
49,Agon Elezi,23.0,,178.0,,Varaždin,HNL,1,0,1,0
50,Agustín Martegani,24.0,Left,,,Boca Juniors,Liga Argentina,1,0,1,0
51,Agustín Álvarez Martínez,23.0,,180.0,71.0,Elche,La Liga 2,2,1,0,0
52,Ahmed Touba,26.0,Right,184.0,78.0,Lecce,Serie A,1,0,0,1
53,Aiham Ousou,24.0,,186.0,86.0,Charleroi,Pro League A,1,0,0,1
54,Aihen Muñoz,27.0,Left,175.0,72.0,Real Sociedad,La Liga,1,0,0,1
55,Aimar Oroz,22.0,Right,177.0,68.0,Osasuna,La Liga,1,0,1,0
56,Ainsley Maitland-Niles,27.0,Right,180.0,67.0,Lyon,Ligue 1,1,1,1,1
57,Aitor Paredes,24.0,Right,186.0,76.0,Athletic Club,La Liga,1,0,0,1
58,Aitor Ruibal,28.0,Right,176.0,71.0,Betis,La Liga,1,1,1,1
59,Akim Zedadka,29.0,Right,175.0,69.0,Zaragoza,La Liga 2,2,0,0,1
60,Akor Adams,24.0,,184.0,,Montpellier,Ligue 1,1,1,0,0
61,Alan Matturro,19.0,Left,189.0,,Genoa,Serie A,1,0,0,1
62,Alan Virginius,21.0,Right,178.0,57.0,Young Boys,Super Lg,1,1,0,0
63,Alassane Pléa,31.0,Right,180.0,72.0,Gladbach,Bundesliga,1,1,1,0
64,Albert Guðmundsson,27.0,Right,177.0,66.0,Genoa,Serie A,1,1,1,0
65,Albert Sambi Lokonga,24.0,Right,183.0,78.0,Sevilla,La Liga,1,0,1,0
66,Alberto Cerri,28.0,Right,194.0,91.0,Como,Serie A,1,1,0,0
67,Alberto Dossena,25.0,,,,Como,Serie A,1,0,0,1
68,Alberto Grassi,29.0,Right,183.0,74.0,Empoli,Serie A,1,0,1,0
69,Alberto Moleiro,20.0,,,,Las Palmas,La Liga,1,1,1,0
70,Alberto Moreno,32.0,Left,172.0,63.0,Como,Serie A,1,0,1,1
71,Alberto Perea,33.0,Right,177.0,83.0,Granada,La Liga,1,1,1,0
72,Alberto Soro,25.0,Left,173.0,63.0,Dinamo,Liga I,1,1,1,0
73,Aleix García,27.0,Right,173.0,60.0,Leverkusen,Bundesliga,1,0,1,0
74,Alejandro Balde,20.0,Left,175.0,68.0,Barcelona,La Liga,1,0,0,1
75,Alejandro Garnacho,20.0,,180.0,79.0,Manchester Utd,Premier League,1,1,1,0
76,Alejandro Pozo Pozo,25.0,Right,174.0,68.0,Almería,La Liga 2,2,1,1,1
77,Alejo Véliz,20.0,,,,Espanyol,La Liga,1,1,0,0
78,Aleksandar Mitrović,29.0,Right,189.0,83.0,Al-Hilal,Saudi Professional League,1,1,0,0
79,Aleksandar Pavlovic,20.0,,,,Bayern Munich,Bundesliga,1,0,1,0
80,Aleksandar Radovanović,30.0,Right,188.0,79.0,Almería,La Liga,1,0,0,1
81,Aleksandar Sedlar,32.0,Right,178.0,78.0,Alavés,La Liga,1,0,1,1
82,Aleksandr Golovin,28.0,Right,180.0,69.0,Monaco,Ligue 1,1,1,1,0
83,Aleksandr Kokorin,33.0,Right,183.0,78.0,Fiorentina,Serie A,1,1,1,0
84,Aleksei Miranchuk,28.0,Left,182.0,73.0,Atlanta Utd,MLS,1,1,1,0
85,Alessandro Bastoni,25.0,Left,190.0,83.0,Inter,Serie A,1,0,0,1
86,Alessandro Buongiorno,25.0,Left,192.0,84.0,Napoli,Serie A,1,0,0,1
87,Alessandro Cortinovis,23.0,Right,180.0,69.0,Cosenza,Serie B,2,0,1,0
88,Alessandro Deiola,29.0,Right,189.0,84.0,Cagliari,Serie A,1,0,1,0
89,Alessandro Di Pardo,25.0,Right,182.0,73.0,Modena,Serie B,2,0,1,1
90,Alessandro Florenzi,33.0,Right,172.0,67.0,Milan,Serie A,1,1,1,1
91,Alessandro Vogliacco,25.0,,,,Genoa,Serie A,1,0,0,1
92,Alessandro Zanoli,23.0,Right,188.0,76.0,Genoa,Serie A,1,0,0,1
93,Alessio Romagnoli,29.0,Left,188.0,78.0,Lazio,Serie A,1,0,0,1
94,Alessio Zerbin,25.0,Right,182.0,79.0,Napoli,Serie A,1,1,0,0
95,Alex Iwobi,28.0,Right,180.0,74.0,Fulham,Premier League,1,1,1,0
96,Alex Král,26.0,Right,186.0,79.0,Espanyol,La Liga,1,0,1,0
97,Alex Matos,19.0,,,,Huddersfield,Championship,2,0,1,0
98,Alex Murphy,20.0,,,,Newcastle United,PL2,6,0,0,1
99,Alex Sandro,33.0,Left,180.0,78.0,Juventus,Serie A,1,0,1,1
100,Alex Scott,21.0,Right,,,Bournemouth,Premier League,1,0,1,0
101,Alex Sola,25.0,Right,178.0,73.0,Getafe,La Liga,1,1,1,1
102,Alexander Isak,24.0,Right,190.0,69.0,Newcastle Utd,Premier League,1,1,0,0
103,Alexander Sørloth,28.0,Left,194.0,89.0,Atlético Madrid,La Liga,1,1,0,0
104,Alexandre Lacazette,33.0,Right,175.0,73.0,Lyon,Ligue 1,1,1,0,0
105,Alexis Beka Beka,23.0,Right,178.0,74.0,Nice,Ligue 1,1,0,1,0
106,Alexis Blin,27.0,Right,184.0,78.0,Palermo,Serie B,2,0,1,0
107,Alexis Claude-Maurice,26.0,Right,180.0,72.0,Nice,Ligue 1,1,1,1,0
108,Alexis Mac Allister,25.0,Right,174.0,72.0,Liverpool,Premier League,1,0,1,0
109,Alexis Saelemaekers,25.0,Right,180.0,72.0,Milan,Serie A,1,1,1,1
110,Alexis Sánchez,35.0,Right,168.0,62.0,Inter,Serie A,1,1,1,0
111,Alexsandro Ribeiro,25.0,Right,189.0,82.0,Lille,Ligue 1,1,0,0,1
112,Alfie Dorrington,19.0,,,,Tottenham Hotspur,PL2,6,0,0,1
113,Alfie Doughty,24.0,Left,195.0,79.0,Luton Town,Championship,2,0,1,1
114,Alfie Gilchrist,20.0,,,,Sheffield Utd,Championship,2,0,0,1
115,Alfonso Espino,32.0,Left,171.0,71.0,Rayo Vallecano,La Liga,1,0,0,1
116,Alfonso Pedraza,28.0,Left,182.0,74.0,Villarreal,La Liga,1,1,1,1
117,Alfred Duncan,31.0,Left,178.0,78.0,Venezia,Serie A,1,0,1,0
118,Alidu Seidu,24.0,Right,173.0,68.0,Rennes,Ligue 1,1,0,0,1
119,Aliou Badara Baldé,21.0,Right,163.0,58.0,Bochum,Bundesliga,1,1,0,0
120,Aljoscha Kemlein,20.0,,185.0,79.0,Union Berlin,Bundesliga,1,0,1,0
121,Allan Campbell,26.0,,175.0,73.0,Charlton Ath,League One,3,0,1,0
122,Alois Confais,28.0,Right,174.0,60.0,Le Havre,Ligue 1,1,0,1,1
123,Alphonso Davies,23.0,Left,178.0,68.0,Bayern Munich,Bundesliga,1,1,1,1
124,Amad Diallo,22.0,Left,173.0,66.0,Manchester Utd,Premier League,1,1,1,0
125,Amadou Diallo,,,,,Newcastle Utd,Premier League,1,1,0,0
126,Amadou Haidara,26.0,Right,175.0,68.0,RB Leipzig,Bundesliga,1,0,1,0
127,Amara Nallo,17.0,,,,Liverpool,PL2,6,0,0,1
128,Amari'i Bell,30.0,Left,180.0,72.0,Luton Town,Championship,2,0,1,1
129,Amath,28.0,Right,173.0,69.0,Valladolid,La Liga,1,1,1,0
130,Ameen Al-Dakhil,22.0,Right,187.0,69.0,Burnley,Premier League,1,0,0,1
131,Amin Sarr,23.0,Right,188.0,83.0,Wolfsburg,Bundesliga,1,1,0,0
132,Amine Gouiri,24.0,Right,180.0,72.0,Rennes,Ligue 1,1,1,1,0
133,Amine Harit,27.0,Right,179.0,66.0,Marseille,Ligue 1,1,1,1,0
134,Amine Salama,24.0,Right,192.0,82.0,Reims,Ligue 1,1,1,0,0
135,Amir Richardson,22.0,Left,195.0,,Fiorentina,Serie A,1,0,1,0
136,Amir Rrahmani,30.0,Right,190.0,74.0,Napoli,Serie A,1,0,0,1
137,Amos Pieper,26.0,Right,192.0,86.0,Werder Bremen,Bundesliga,1,0,0,1
138,Anass Zaroury,23.0,Both,,,Lens,Ligue 1,1,1,1,0
139,Anastasios Douvikas,25.0,,186.0,76.0,Celta Vigo,La Liga,1,1,0,0
140,Ander Barrenetxea,22.0,Right,178.0,68.0,Real Sociedad,La Liga,1,1,1,0
141,Ander Guevara,27.0,Right,180.0,74.0,Alavés,La Liga,1,0,1,0
142,Ander Herrera,35.0,Right,181.0,73.0,Athletic Club,La Liga,1,0,1,0
143,Anders Børset,18.0,,,,Wolfsburg U19,U19 Bundesliga,6,0,0,1
144,Anderson Lima,24.0,Right,180.0,78.0,São Paulo,Série A,1,0,1,0
145,Andoni Gorosabel,28.0,Right,174.0,72.0,Athletic Club,La Liga,1,0,0,1
146,Andre Brooks,21.0,,180.0,,Sheffield Utd,Championship,2,0,1,0
147,Andre-Frank Zambo Anguissa,28.0,Right,184.0,78.0,Napoli,Serie A,1,0,1,0
148,Andrea Belotti,30.0,Right,181.0,72.0,Como,Serie A,1,1,0,0
149,Andrea Cambiaso,24.0,Left,181.0,73.0,Juventus,Serie A,1,0,1,1
150,Andrea Carboni,23.0,Left,185.0,79.0,Monza,Serie A,1,0,0,1
151,Andrea Colpani,25.0,Left,186.0,74.0,Fiorentina,Serie A,1,0,1,0
152,Andrea Petagna,29.0,Left,188.0,84.0,Monza,Serie A,1,1,0,0
153,Andrea Pinamonti,25.0,Right,185.0,79.0,Genoa,Serie A,1,1,0,0
154,Andreas Christensen,28.0,Right,188.0,73.0,Barcelona,La Liga,1,0,1,1
155,Andreas Hanche-Olsen,27.0,Right,185.0,82.0,Mainz 05,Bundesliga,1,0,0,1
156,Andreas Müller,24.0,,173.0,,Darmstadt 98,2,2,0,1,0
157,Andreas Pereira,28.0,Right,177.0,66.0,Fulham,Premier League,1,0,1,0
158,Andrei Ratiu,26.0,Right,183.0,76.0,Rayo Vallecano,La Liga,1,0,0,1
159,Andrej Ilic,24.0,Right,184.0,,Lille,Ligue 1,1,1,0,0
160,Andrej Kramarić,33.0,Right,180.0,74.0,Hoffenheim,Bundesliga,1,1,1,0
161,Andrew Omobamidele,22.0,Right,188.0,76.0,Nott'ham Forest,Premier League,1,0,0,1
162,Andrew Robertson,30.0,Left,178.0,63.0,Liverpool,Premier League,1,0,1,1
163,Andrey Santos,20.0,Right,176.0,72.0,Strasbourg,Ligue 1,1,0,1,0
164,Andros Townsend,33.0,Left,183.0,77.0,Luton Town,Championship,2,1,1,0
165,András Schäfer,25.0,Right,180.0,73.0,Union Berlin,Bundesliga,1,0,1,0
166,André Ayew,34.0,Left,176.0,72.0,Le Havre,Ligue 1,1,1,1,0
167,André Gomes,,Right,188.0,83.0,Everton,PL2,6,0,1,0
168,André Silva,28.0,Right,185.0,74.0,Real Sociedad,La Liga,1,1,0,0
169,Andrés Guardado,37.0,Left,172.0,68.0,León,Liga MX,1,1,1,1
170,Andy Diouf,21.0,Left,175.0,62.0,Lens,Ligue 1,1,0,1,0
171,Andy Pelmard,24.0,Right,179.0,71.0,Clermont Foot,Ligue 1,1,0,0,1
172,Anel Ahmedhodžić,25.0,Right,178.0,69.0,Sheffield Utd,Championship,2,0,1,1
173,Angeliño,27.0,Left,175.0,68.0,Roma,Serie A,1,0,1,1
174,Angelo Fulgini,28.0,Right,188.0,71.0,Lens,Ligue 1,1,1,1,0
175,Angelo Ogbonna,36.0,Left,191.0,86.0,West Ham,Premier League,1,0,0,1
176,Angelo Stiller,23.0,Left,183.0,77.0,Stuttgart,Bundesliga,1,0,1,0
177,Anis Ben Slimane,23.0,,186.0,82.0,Norwich City,Championship,2,0,1,0
178,Ansgar Knauff,22.0,Right,180.0,69.0,Eint Frankfurt,Bundesliga,1,0,1,1
179,Ansu Fati,21.0,Right,178.0,68.0,Brighton,Premier League,1,1,0,0
180,Ante Budimir,33.0,Left,190.0,74.0,Osasuna,La Liga,1,1,0,0
181,Anthony Caci,27.0,Right,184.0,69.0,Mainz 05,Bundesliga,1,0,1,1
182,Anthony Elanga,22.0,Right,178.0,64.0,Nott'ham Forest,Premier League,1,1,1,0
183,Anthony Gordon,23.0,Right,173.0,62.0,Newcastle Utd,Premier League,1,1,1,0
184,Anthony Jung,32.0,Left,186.0,83.0,Werder Bremen,Bundesliga,1,0,1,1
185,Anthony Losilla,38.0,Right,185.0,74.0,Bochum,Bundesliga,1,0,1,0
186,Anthony Lozano,31.0,Right,183.0,73.0,Santos,Liga MX,1,1,0,0
187,Anthony Martial,,Right,184.0,76.0,Manchester Utd,Premier League,1,1,1,0
188,Anthony Oyono,23.0,,176.0,71.0,Frosinone,Serie B,2,0,0,1
189,Anthony Rouault,23.0,Right,186.0,76.0,Stuttgart,Bundesliga,1,0,0,1
190,Antoine Griezmann,33.0,Left,175.0,67.0,Atlético Madrid,La Liga,1,1,1,0
191,Antoine Joujou,21.0,,,,Le Havre,Ligue 1,1,0,1,0
192,Antoine Makoumbou,26.0,Right,185.0,74.0,Cagliari,Serie A,1,0,1,0
193,Antoine Mendy,20.0,Right,177.0,62.0,Nice,Ligue 1,1,0,0,1
194,Antoine Semenyo,24.0,Both,180.0,69.0,Bournemouth,Premier League,1,1,1,0
195,Anton Stach,25.0,Right,193.0,86.0,Hoffenheim,Bundesliga,1,0,1,0
196,Antonee Robinson,27.0,Left,179.0,72.0,Fulham,Premier League,1,0,0,1
197,Antonino Gallo,24.0,Left,183.0,68.0,Lecce,Serie A,1,0,0,1
198,Antonio Blanco,24.0,Right,176.0,66.0,Alavés,La Liga,1,0,1,0
199,Antonio Candreva,37.0,Right,180.0,69.0,Salernitana,Serie A,1,1,1,1
200,Antonio Raillo,32.0,Right,186.0,74.0,Mallorca,La Liga,1,0,0,1
201,Antonio Rüdiger,31.0,Right,191.0,84.0,Real Madrid,La Liga,1,0,0,1
202,Antonio Sanabria,28.0,Right,180.0,76.0,Torino,Serie A,1,1,0,0
203,Antonio Sánchez,27.0,Right,179.0,78.0,Mallorca,La Liga,1,1,1,0
204,Antonios Papadopoulos,24.0,Right,186.0,83.0,Lugano,Super Lg,1,0,1,1
205,Antony,24.0,Left,172.0,64.0,Manchester Utd,Premier League,1,1,1,0
206,Antonín Barák,29.0,Left,190.0,86.0,Fiorentina,Serie A,1,0,1,0
207,Anwar El Ghazi,29.0,Right,188.0,86.0,Cardiff City,Championship,2,1,1,0
208,Arda Güler,19.0,,176.0,60.0,Real Madrid,La Liga,1,0,1,0
209,Ardian Ismajli,27.0,Right,185.0,83.0,Empoli,Serie A,1,0,0,1
210,Aridane Hernández,35.0,Right,186.0,77.0,Rayo Vallecano,La Liga,1,0,0,1
211,Arijon Ibrahimović,18.0,,179.0,68.0,Frosinone,Serie A,1,1,0,0
212,Aritz Elustondo,30.0,Right,178.0,72.0,Real Sociedad,La Liga,1,0,0,1
213,Arkadiusz Milik,30.0,Left,186.0,78.0,Juventus,Serie A,1,1,0,0
214,Armand Lauriente,25.0,Right,171.0,58.0,Sassuolo,Serie B,2,1,1,0
215,Armando Broja,22.0,Right,191.0,83.0,Fulham,Premier League,1,1,0,0
216,Armando Izzo,32.0,Right,183.0,76.0,Monza,Serie A,1,0,0,1
217,Arnau Martinez,21.0,Right,181.0,74.0,Girona,La Liga,1,0,0,1
218,Arnau Puigmal,23.0,Right,173.0,64.0,Almería,La Liga 2,2,0,1,0
219,Arnaud Kalimuendo,22.0,Right,178.0,73.0,Rennes,Ligue 1,1,1,0,0
220,Arnaut Danjuma,27.0,Right,187.0,73.0,Girona,La Liga,1,1,1,0
221,Arne Engels,21.0,Right,184.0,71.0,Celtic,Premiership,1,0,1,0
222,Arne Maier,25.0,Right,183.0,78.0,Augsburg,Bundesliga,1,0,1,0
223,Aron Dønnum,26.0,Left,179.0,73.0,Toulouse,Ligue 1,1,1,1,1
224,Arouna Sangante,22.0,,179.0,76.0,Le Havre,Ligue 1,1,0,0,1
225,Arsen Zakharyan,21.0,Right,180.0,67.0,Real Sociedad,La Liga,1,1,1,0
226,Artem Dovbyk,27.0,Right,184.0,76.0,Roma,Serie A,1,1,0,0
227,Arthur Melo,28.0,Right,172.0,68.0,Fiorentina,Serie A,1,0,1,0
228,Arthur Theate,24.0,Left,191.0,81.0,Eint Frankfurt,Bundesliga,1,0,0,1
229,Arthur Vermeeren,19.0,,176.0,,RB Leipzig,Bundesliga,1,0,1,0
230,Arvin Appiah,23.0,,,,Nacional,Primeira Liga,1,1,1,0
231,Asaf Arania,18.0,,,,Darmstadt 98,Bundesliga,1,1,0,0
232,Ashley Phillips,19.0,,,,Stoke City,Championship,2,0,0,1
233,Ashley Young,39.0,Right,175.0,63.0,Everton,Premier League,1,1,1,1
234,Asier Villalibre,26.0,Both,183.0,82.0,Alavés,La Liga,1,1,0,0
235,Assane Diao,19.0,,,,Betis,La Liga,1,0,1,0
236,Aster Vranckx,21.0,Right,183.0,78.0,Wolfsburg,Bundesliga,1,0,1,0
237,Atakan Karazor,27.0,Right,190.0,78.0,Stuttgart,Bundesliga,1,0,1,0
238,Attila Szalai,26.0,Left,192.0,84.0,Hoffenheim,Bundesliga,1,0,1,1
239,Aurélien Tchouaméni,24.0,Right,185.0,74.0,Real Madrid,La Liga,1,0,1,0
240,Aurélio Buta,27.0,Right,172.0,69.0,Reims,Ligue 1,1,0,1,1
241,Auston Trusty,26.0,Left,191.0,83.0,Sheffield Utd,Championship,2,0,0,1
242,Axel Disasi,26.0,Right,190.0,86.0,Chelsea,Premier League,1,0,0,1
243,Axel Witsel,35.0,Right,186.0,81.0,Atlético Madrid,La Liga,1,0,1,1
244,Aymen Barkok,26.0,Right,188.0,74.0,Mainz 05,Bundesliga,1,0,1,0
245,Aymeric Laporte,30.0,Left,189.0,84.0,Al-Nassr,Saudi Professional League,1,0,0,1
246,Ayoub Amraoui,20.0,,186.0,73.0,Martigues,Ligue 2,2,0,0,1
247,Ayoze Pérez,31.0,Right,179.0,68.0,Villarreal,La Liga,1,1,1,0
248,Azor Matusiwa,26.0,Right,173.0,73.0,Rennes,Ligue 1,1,0,1,0
249,Azzedine Ounahi,24.0,Right,182.0,72.0,Marseille,Ligue 1,1,0,1,0
250,Aïman Maurer,19.0,,188.0,89.0,Clermont Foot,Ligue 2,2,1,0,0
251,Aïssa Laïdouni,27.0,Right,183.0,77.0,Union Berlin,Bundesliga,1,0,1,1
252,Aïssa Mandi,32.0,Right,186.0,78.0,Lille,Ligue 1,1,0,0,1
253,Badredine Bouanani,19.0,,172.0,,Nice,Ligue 1,1,0,1,0
254,Bafodé Diakité,23.0,Right,182.0,73.0,Lille,Ligue 1,1,0,0,1
255,Bamba Dieng,24.0,Right,178.0,78.0,Angers,Ligue 1,1,1,0,0
256,Bambasé Conté,21.0,,178.0,76.0,Karlsruher,2,2,1,0,0
257,Bamo Meïté,22.0,,183.0,74.0,Marseille,Ligue 1,1,0,0,1
258,Baptiste Santamaria,29.0,Right,183.0,73.0,Rennes,Ligue 1,1,0,1,0
259,Bartol Franjić,24.0,Left,186.0,77.0,Shakhtar,Premier League,1,0,1,0
260,Bartosz Bereszyński,32.0,Right,182.0,78.0,Sampdoria,Serie B,2,1,0,1
261,Bashir Humphreys,21.0,,,,Swansea City,Championship,2,0,0,1
262,Bebé,34.0,Right,190.0,82.0,Racing Ferrol,La Liga 2,2,1,1,0
263,Becir Omeragic,22.0,Right,187.0,77.0,Montpellier,Ligue 1,1,0,0,1
264,Ben Brereton,25.0,Right,183.0,69.0,Southampton,Premier League,1,1,1,0
265,Ben Chilwell,27.0,Left,178.0,71.0,Chelsea,Premier League,1,0,1,1
266,Ben Davies,31.0,Left,181.0,76.0,Tottenham Hotspur,Premier League,1,0,1,1
267,Ben Doak,18.0,,,,Liverpool,Premier League,1,1,0,0
268,Ben Godfrey,26.0,Right,183.0,78.0,Atalanta,Serie A,1,0,1,1
269,Ben Jackson,21.0,,190.0,,Brighton,PL2,6,0,0,1
270,Ben Johnson,24.0,Right,170.0,68.0,Ipswich Town,Premier League,1,0,0,1
271,Ben Mee,34.0,Left,180.0,72.0,Brentford,Premier League,1,0,0,1
272,Ben Osborn,30.0,Left,176.0,74.0,Derby County,Championship,2,1,1,1
273,Ben Parkinson,19.0,,,,Newcastle United,PL2,6,1,0,0
274,Ben White,26.0,Right,182.0,73.0,Arsenal,Premier League,1,0,0,1
275,Benedict Hollerbach,23.0,,,,Union Berlin,Bundesliga,1,1,1,0
276,Benedikt Gimber,27.0,Left,185.0,83.0,Heidenheim,Bundesliga,1,0,1,1
277,Benicio Boaitey,20.0,,,,Port Vale,League Two,4,1,0,0
278,Benito Ramírez,29.0,Left,,,Las Palmas,La Liga,1,1,1,1
279,Benjamin André,34.0,Right,177.0,68.0,Lille,Ligue 1,1,0,1,1
280,Benjamin Bourigeaud,30.0,Right,177.0,66.0,Rennes,Ligue 1,1,1,1,0
281,Benjamin Henrichs,27.0,Right,182.0,78.0,RB Leipzig,Bundesliga,1,0,1,1
282,Benjamin Mendy,30.0,Left,186.0,74.0,Lorient,Ligue 1,1,0,0,1
283,Benjamin Pavard,28.0,Right,182.0,64.0,Inter,Serie A,1,0,0,1
284,Benjamin Stambouli,,Right,180.0,74.0,Reims,Ligue 1,1,0,1,1
285,Benjamin Tetteh,27.0,Both,193.0,64.0,Metz,Ligue 1,1,1,0,0
286,Benjamin Šeško,21.0,Right,194.0,77.0,RB Leipzig,Bundesliga,1,1,0,0
287,Bennit Bröger,18.0,,,,Wolfsburg,Bundesliga,1,0,1,0
288,Benno Schmitz,29.0,Right,182.0,74.0,Grasshopper,Super Lg,1,0,0,1
289,Benoît Badiashile,23.0,Left,194.0,67.0,Chelsea,Premier League,1,0,0,1
290,Benson Manuel,27.0,Left,166.0,63.0,Burnley,Championship,2,1,1,0
291,Berat Djimsiti,31.0,Right,190.0,83.0,Atalanta,Serie A,1,0,1,1
292,Berkan Kutlu,26.0,Left,183.0,78.0,Galatasaray,Süper Lig,1,0,1,0
293,Bernardo,29.0,Left,186.0,76.0,Bochum,Bundesliga,1,0,0,1
294,Bernardo Espinosa,35.0,Right,192.0,86.0,Nacional,Primera A,1,0,0,1
295,Bernardo Silva,30.0,Left,173.0,64.0,Manchester City,Premier League,1,1,1,0
296,Bertrand Traoré,29.0,Left,177.0,72.0,Ajax,Eredivisie,1,1,1,0
297,Bertuğ Yıldırım,22.0,,,,Getafe,La Liga,1,1,0,0
298,Beto,26.0,Right,194.0,86.0,Everton,Premier League,1,1,0,0
299,Beñat Prados,23.0,Right,179.0,67.0,Athletic Club,La Liga,1,0,1,0
300,Beñat Turrientes,22.0,Right,172.0,68.0,Real Sociedad,La Liga,1,0,1,0
301,Bigo Atom,19.0,,,,Brighton,PL2,6,0,0,1
302,Bilal Boutobba,26.0,Left,175.0,54.0,Clermont Foot,Ligue 1,1,1,1,0
303,Bilal Brahimi,24.0,Left,183.0,74.0,Nice,Ligue 1,1,0,1,0
304,Billy Gilmour,23.0,Right,170.0,59.0,Brighton,Premier League,1,0,1,0
305,Birger Meling,29.0,Left,173.0,63.0,FC Copenhagen,Danish Superliga,1,0,0,1
306,Bobby Clark,19.0,,178.0,,Liverpool,Premier League,1,0,1,0
307,Bobby Reid,31.0,Right,170.0,66.0,Leicester City,Premier League,1,1,1,0
308,Bonke Innocent,28.0,Right,180.0,73.0,Lorient,Ligue 1,1,0,1,0
309,Borja García,,Right,175.0,73.0,Girona,La Liga,1,1,1,0
310,Borja Iglesias,31.0,Right,187.0,78.0,Celta Vigo,La Liga,1,1,0,0
